Type,Title,RFP Number,Location,City,State,Country,Deadline,Description,URL,Category
RFP,"US-FED-00000357456-Flow 3-D Renewal FY26 - Deadline November 20,2025",US-FED-00000357456-F,,,,,"November 20,2025",,https://www.rfpmart.com1044456-us-fed-flow-3-d-renewal-fy26.html,
RFP,"US-FED-00000357455-Notice of Intent to Sole Source JSU Dental Equipment Preventative Maintenance Services and Repair - Deadline November 24,2025",US-FED-00000357455-N,,,,,"November 24,2025",,https://www.rfpmart.com1044455-us-fed-notice-of-intent-to-sole-source-jsu-dental-equipment-preventative-maintenance-services-and-repair.html,
RFP,"US-FED-00000357454-4110--Countertop Ice and Water Dispenser - Deadline November 25,2025",US-FED-00000357454-4110--C,,,,,"November 25,2025",,https://www.rfpmart.com1044454-us-fed-4110--countertop-ice-and-water-dispenser.html,
RFP,"US-FED-00000357453-Garage Door Maintenance and Repair at American Lake VAMC - Deadline November 24,2025",US-FED-00000357453-G,,,,,"November 24,2025",,https://www.rfpmart.com1044453-us-fed-garage-door-maintenance-and-repair-at-american-lake-vamc.html,
RFP,"US-FED-00000357452-US GOVERNMENT SEEKS SOURCES FOR LEASED RETAIL AND RELATED SPACE IN BATON ROUGE, LA - Deadline December 1,2025",US-FED-00000357452-US,,,,,"December 1,2025",,https://www.rfpmart.com1044452-us-fed-us-government-seeks-sources-for-leased-retail-and-related-space-in-baton-rouge-la.html,
RFP,"US-FED-00000357451-AFFSC Support Services - Deadline December 1,2025",US-FED-00000357451-AFFSC,,,,,"December 1,2025",,https://www.rfpmart.com1044451-us-fed-affsc-support-services.html,
RFP,"US-FED-00000357450-J065--RSO Medical Physics Services KC Base YR 2/6/2026-2/5/2027 36C255-26-AP-0592 - Deadline November 28,2025",US-FED-00000357450-J065--RSO,,,,,"November 28,2025",,https://www.rfpmart.com1044450-us-fed-j065--rso-medical-physics-services-kc-base-yr-262026-252027-36c255-26-ap-0592.html,
RFP,"US-FED-00000357449-Pre-Award Synopsis: Contract Modification for FY26 SEWIP Block 3 Hemisphere and Quadrant EA Subsystem Production, Ancillary Equi - Deadline December 2,2025",US-FED-00000357449-P,,,,,"December 2,2025",,https://www.rfpmart.com1044449-us-fed-pre-award-synopsis-contract-modification-for-fy26-sewip-block-3-hemisphere-and-quadrant-ea-subsystem-production-ancillary-equi.html,
RFP,"STAFF-14952-USA (Elmwood Park, New Jersey) - Licensed Sewer Operator Service - Deadline December 9,2025",STAFF-14952-USA,"Elmwood Park, New Jersey",Elmwood Park,New Jersey,,"December 9,2025",Licensed Sewer Operator Service,https://www.rfpmart.com1044448-usa-elmwood-park-new-jersey-licensed-sewer-operator-service-rfp.html,
RFP,"LEGAL-15716-USA (Elmwood Park, New Jersey) - Redevelopment Counsel Service - Deadline December 9,2025",LEGAL-15716-USA,"Elmwood Park, New Jersey",Elmwood Park,New Jersey,,"December 9,2025",Redevelopment Counsel Service,https://www.rfpmart.com1044447-usa-elmwood-park-new-jersey-redevelopment-counsel-service-rfp.html,
RFP,"STAFF-14951-USA (Elmwood Park, New Jersey) - Municipal Engineer Service - Deadline December 9,2025",STAFF-14951-USA,"Elmwood Park, New Jersey",Elmwood Park,New Jersey,,"December 9,2025",Municipal Engineer Service,https://www.rfpmart.com1044446-usa-elmwood-park-new-jersey-municipal-engineer-service-rfp.html,
RFP,"EQU-16432-USA (Joliet, Illinois) - HP Latex R530 Printer Supplies - Deadline December 3,2025",EQU-16432-USA,"Joliet, Illinois",Joliet,Illinois,,"December 3,2025",HP Latex R530 Printer Supplies,https://www.rfpmart.com1044445-usa-joliet-illinois-hp-latex-r530-printer-supplies-rfp.html,
RFP,"ACCT-23885-USA (Elmwood Park, New Jersey) - Financial Advisory Services - Deadline December 9,2025",ACCT-23885-USA,"Elmwood Park, New Jersey",Elmwood Park,New Jersey,,"December 9,2025",Financial Advisory Services,https://www.rfpmart.com1044444-usa-elmwood-park-new-jersey-financial-advisory-services-rfp.html,
RFP,"CLEANING-10789-USA (Newport, Oregon) - Janitorial Services - Deadline November 24,2025",CLEANING-10789-USA,"Newport, Oregon",Newport,Oregon,,"November 24,2025",Janitorial Services,https://www.rfpmart.com1044443-usa-newport-oregon-janitorial-services-rfp.html,
RFP,"LEGAL-15715-USA (Elmwood Park, New Jersey) - Municipal Attorney Service - Deadline December 9,2025",LEGAL-15715-USA,"Elmwood Park, New Jersey",Elmwood Park,New Jersey,,"December 9,2025",Municipal Attorney Service,https://www.rfpmart.com1044442-usa-elmwood-park-new-jersey-municipal-attorney-service-rfp.html,
RFP,"CLEANING-10790-USA (Bristol, Virginia) - Custodial Services  - Deadline November 27,2025",CLEANING-10790-USA,"Bristol, Virginia",Bristol,Virginia,,"November 27,2025",Custodial Services,https://www.rfpmart.com1044441-usa-bristol-virginia-custodial-services-rfp.html,
RFP,"LEGAL-15714-USA (Elmwood Park, New Jersey) - Attorney Service for Planning Board - Deadline December 9,2025",LEGAL-15714-USA,"Elmwood Park, New Jersey",Elmwood Park,New Jersey,,"December 9,2025",Attorney Service for Planning Board,https://www.rfpmart.com1044440-usa-elmwood-park-new-jersey-attorney-service-for-planning-board-rfp.html,
RFP,"EXTRA-61772-USA (Syracuse, New York) - Accreditation Services - Deadline December 10,2025",EXTRA-61772-USA,"Syracuse, New York",Syracuse,New York,,"December 10,2025",Accreditation Services,https://www.rfpmart.com1044439-usa-syracuse-new-york-accreditation-services-rfp.html,
RFP,"STAT-0886-Canada (Athabasca, Alberta) - Office and Related Operational Materials Supplies - Deadline December 17,2025",STAT-0886-C,"Athabasca, Alberta",Athabasca,Alberta,,"December 17,2025",Office and Related Operational Materials Supplies,https://www.rfpmart.com1044437-canada-athabasca-alberta-office-and-related-operational-materials-supplies-rfp.html,
RFP,"DISPOS-8385-USA (Sacramento, California) - Trash, Compost, Recycling Collection, Hauling and Disposal Services  - Deadline December 3,2025",DISPOS-8385-USA,"Sacramento, California",Sacramento,California,,"December 3,2025","Trash, Compost, Recycling Collection, Hauling and Disposal Services",https://www.rfpmart.com1044436-usa-sacramento-california-trash-compost-recycling-collection-hauling-and-disposal-services-rfp.html,
RFP,"CONS-18348-USA (Whittier, California) - Professional Architectural Services - Deadline December 1,2025",CONS-18348-USA,"Whittier, California",Whittier,California,,"December 1,2025",Professional Architectural Services,https://www.rfpmart.com1044435-usa-whittier-california-professional-architectural-services-rfp.html,
RFP,"SW-106848-USA (Alabama) - Readyop Dashboard Subscription - Deadline November 21,2025",SW-106848-USA,Alabama,,,,"November 21,2025",Readyop Dashboard Subscription,https://www.rfpmart.com1044434-usa-alabama-readyop-dashboard-subscription-rfp.html,
RFP,"SURG-5364-USA (Alabama) - Medical Supplies - Deadline November 20,2025",SURG-5364-USA,Alabama,,,,"November 20,2025",Medical Supplies,https://www.rfpmart.com1044433-usa-alabama-medical-supplies-rfp.html,
RFP,"NET-14579-USA (Great Lakes, Illinois) - RFI for Internet WIFI and Hardlines Installation     - Deadline November 24,2025",NET-14579-USA,"Great Lakes, Illinois",Great Lakes,Illinois,,"November 24,2025",RFI for Internet WIFI and Hardlines Installation,https://www.rfpmart.com1044430-usa-great-lakes-illinois-rfi-for-internet-wifi-and-hardlines-installation-rfp.html,
RFP,"NET-14578-USA (Greeley, Colorado) - Category 6 Cabling Service - Deadline December 17,2025",NET-14578-USA,"Greeley, Colorado",Greeley,Colorado,,"December 17,2025",Category 6 Cabling Service,https://www.rfpmart.com1044429-usa-greeley-colorado-category-6-cabling-service-rfp.html,
RFP,"DRA-9465-USA (Chandler, Arizona) - Salary and Market Research Study Service - Deadline December 3,2025",DRA-9465-USA,"Chandler, Arizona",Chandler,Arizona,,"December 3,2025",Salary and Market Research Study Service,https://www.rfpmart.com1044428-usa-chandler-arizona-salary-and-market-research-study-service-rfp.html,
RFP,"ESTATE-10595-USA (Illinois) - Commercial Real Estate Broker Service - Deadline December 4,2025",ESTATE-10595-USA,Illinois,,,,"December 4,2025",Commercial Real Estate Broker Service,https://www.rfpmart.com1044427-usa-illinois-commercial-real-estate-broker-service-rfp.html,
RFP,"CONS-18347-USA (Peekskill, New York) - Construction Documents, Bidding Assistance and Inspection Services - Deadline December 23,2025",CONS-18347-USA,"Peekskill, New York",Peekskill,New York,,"December 23,2025","Construction Documents, Bidding Assistance and Inspection Services",https://www.rfpmart.com1044426-usa-peekskill-new-york-construction-documents-bidding-assistance-and-inspection-services-rfp.html,
RFP,"NET-14577-USA (Utah) - E-Rate Firewall Equipment Supplies - Deadline December 17,2025",NET-14577-USA,Utah,,,,"December 17,2025",E-Rate Firewall Equipment Supplies,https://www.rfpmart.com1044424-usa-utah-e-rate-firewall-equipment-supplies-rfp.html,
RFP,"DISPOS-8384-USA (York, Pennsylvania) - Waste Management Service - Deadline December 17,2025",DISPOS-8384-USA,"York, Pennsylvania",York,Pennsylvania,,"December 17,2025",Waste Management Service,https://www.rfpmart.com1044423-usa-york-pennsylvania-waste-management-service-rfp.html,
RFP,"CSE-22157-USA (Texas) - Camera System Kit Supplies - Deadline November 20,2025",CSE-22157-USA,Texas,,,,"November 20,2025",Camera System Kit Supplies,https://www.rfpmart.com1044422-usa-texas-camera-system-kit-supplies-rfp.html,
RFP,"SW-106847-USA (Maryland) - Docusign Renewal Service - Deadline November 26,2025",SW-106847-USA,Maryland,,,,"November 26,2025",Docusign Renewal Service,https://www.rfpmart.com1044421-usa-maryland-docusign-renewal-service-rfp.html,
RFP,"MEDI-7279-USA (Baltimore, Maryland) - Veterinary Services - Deadline December 5,2025",MEDI-7279-USA,"Baltimore, Maryland",Baltimore,Maryland,,"December 5,2025",Veterinary Services,https://www.rfpmart.com1044420-usa-baltimore-maryland-veterinary-services-rfp.html,
RFP,"DISPOS-8383-USA (Houston, Texas) - Biologic Waste Disposal Service - Deadline December 10,2025",DISPOS-8383-USA,"Houston, Texas",Houston,Texas,,"December 10,2025",Biologic Waste Disposal Service,https://www.rfpmart.com1044419-usa-houston-texas-biologic-waste-disposal-service-rfp.html,
RFP,"MRB-50789-USA (Texas) - Promotional and Apparel Products Supplies - Deadline December 18,2025",MRB-50789-USA,Texas,,,,"December 18,2025",Promotional and Apparel Products Supplies,https://www.rfpmart.com1044417-usa-texas-promotional-and-apparel-products-supplies-rfp.html,
RFP,"CLEANING-10788-USA (Yerington, Nevada) - Janitorial Services - Deadline December 8,2025",CLEANING-10788-USA,"Yerington, Nevada",Yerington,Nevada,,"December 8,2025",Janitorial Services,https://www.rfpmart.com1044415-usa-yerington-nevada-janitorial-services-rfp.html,
RFP,"LEGAL-15712-USA (Stratford, Connecticut) - Personnel Services - Deadline December 4,2025",LEGAL-15712-USA,"Stratford, Connecticut",Stratford,Connecticut,,"December 4,2025",Personnel Services,https://www.rfpmart.com1044414-usa-stratford-connecticut-personnel-services-rfp.html,
RFP,"ITES-9350-USA (Washington, DC) - RFI for Penetration Testing as a Service - Deadline December 8,2025",ITES-9350-USA,"Washington, DC",Washington,DC,,"December 8,2025",RFI for Penetration Testing as a Service,https://www.rfpmart.com1044413-usa-washington-dc-rfi-for-penetration-testing-as-a-service-rfp.html,
RFP,"CONS-18346-USA (Camden, New Jersey) - Construction Management and Inspection Services - Deadline December 16,2025",CONS-18346-USA,"Camden, New Jersey",Camden,New Jersey,,"December 16,2025",Construction Management and Inspection Services,https://www.rfpmart.com1044412-usa-camden-new-jersey-construction-management-and-inspection-services-rfp.html,
RFP,"PM-22451-USA (Washington, DC) - Social Security Benefit Statement Self-Mailer Service RFP ID:  PM-22451 - Deadline December 1,2025",PM-22451-USA,"Washington, DC",Washington,DC,,"December 1,2025",Social Security Benefit Statement Self-Mailer Service RFP ID:  PM-22451,https://www.rfpmart.com1044411-usa-washington-dc-social-security-benefit-statement-self-mailer-service-rfp-id-pm-22451-rfp.html,
RFP,"LEGAL-15708-USA (Camden, New Jersey) - Bond Counsel Service - Deadline December 12,2025",LEGAL-15708-USA,"Camden, New Jersey",Camden,New Jersey,,"December 12,2025",Bond Counsel Service,https://www.rfpmart.com1044410-usa-camden-new-jersey-bond-counsel-service-rfp.html,
RFP,"DRA-9464-USA (Washington, DC) - Obstacles Impact Evaluation Service - Deadline January 26,2026",DRA-9464-USA,"Washington, DC",Washington,DC,,"January 26,2026",Obstacles Impact Evaluation Service,https://www.rfpmart.com1044409-usa-washington-dc-obstacles-impact-evaluation-service-rfp.html,
RFP,"EXTRA-61771-USA (Justin, Texas) - Electric Energy Consultant Services - Deadline December 9,2025",EXTRA-61771-USA,"Justin, Texas",Justin,Texas,,"December 9,2025",Electric Energy Consultant Services,https://www.rfpmart.com1044408-usa-justin-texas-electric-energy-consultant-services-rfp.html,
RFP,"CONS-18345-USA (Camden, New Jersey) - Environmental Engineer Service - Deadline December 12,2025",CONS-18345-USA,"Camden, New Jersey",Camden,New Jersey,,"December 12,2025",Environmental Engineer Service,https://www.rfpmart.com1044407-usa-camden-new-jersey-environmental-engineer-service-rfp.html,
RFP,"PM-22450-USA (Exeter, New Hampshire) - Report Printing Service - Deadline December 1,2025",PM-22450-USA,"Exeter, New Hampshire",Exeter,New Hampshire,,"December 1,2025",Report Printing Service,https://www.rfpmart.com1044406-usa-exeter-new-hampshire-report-printing-service-rfp.html,
RFP,"DISPOS-8382-USA (Salem, New Hampshire) - Household Hazardous Waste Collection Service - Deadline December 3,2025",DISPOS-8382-USA,"Salem, New Hampshire",Salem,New Hampshire,,"December 3,2025",Household Hazardous Waste Collection Service,https://www.rfpmart.com1044405-usa-salem-new-hampshire-household-hazardous-waste-collection-service-rfp.html,
RFP,"ACCT-23884-USA (Camden, New Jersey) - Financial Advisor Service - Deadline December 12,2025",ACCT-23884-USA,"Camden, New Jersey",Camden,New Jersey,,"December 12,2025",Financial Advisor Service,https://www.rfpmart.com1044404-usa-camden-new-jersey-financial-advisor-service-rfp.html,
RFP,"LEGAL-15707-USA (Camden, New Jersey) - Legal Services - Deadline December 12,2025",LEGAL-15707-USA,"Camden, New Jersey",Camden,New Jersey,,"December 12,2025",Legal Services,https://www.rfpmart.com1044403-usa-camden-new-jersey-legal-services-rfp.html,
RFP,"EXTRA-61767-USA (Camden, New Jersey) - Oversight, Evaluation and Reporting Relative Service - Deadline December 12,2025",EXTRA-61767-USA,"Camden, New Jersey",Camden,New Jersey,,"December 12,2025","Oversight, Evaluation and Reporting Relative Service",https://www.rfpmart.com1044401-usa-camden-new-jersey-oversight-evaluation-and-reporting-relative-service-rfp.html,
RFP,"EQU-16431-USA (Carson, Nevada) - Commercial Display Services - Deadline December 5,2025",EQU-16431-USA,"Carson, Nevada",Carson,Nevada,,"December 5,2025",Commercial Display Services,https://www.rfpmart.com1044400-usa-carson-nevada-commercial-display-services-rfp.html,
RFP,"ACCT-23883-USA (Camden, New Jersey) - Auditing Services - Deadline December 10,2025",ACCT-23883-USA,"Camden, New Jersey",Camden,New Jersey,,"December 10,2025",Auditing Services,https://www.rfpmart.com1044398-usa-camden-new-jersey-auditing-services-rfp.html,
RFP,"FOOD-9565-USA (Camden, New Jersey) - Food Services - Deadline December 10,2025",FOOD-9565-USA,"Camden, New Jersey",Camden,New Jersey,,"December 10,2025",Food Services,https://www.rfpmart.com1044396-usa-camden-new-jersey-food-services-rfp.html,
RFP,"ACCT-23882-USA (Camden, New Jersey) - Annual Financial and Compliance Audits Service - Deadline December 9,2025",ACCT-23882-USA,"Camden, New Jersey",Camden,New Jersey,,"December 9,2025",Annual Financial and Compliance Audits Service,https://www.rfpmart.com1044395-usa-camden-new-jersey-annual-financial-and-compliance-audits-service-rfp.html,
RFP,"LEGAL-15706-USA (Perth Amboy, New Jersey) - Professional Attorney Services - Deadline December 11,2025",LEGAL-15706-USA,"Perth Amboy, New Jersey",Perth Amboy,New Jersey,,"December 11,2025",Professional Attorney Services,https://www.rfpmart.com1044394-usa-perth-amboy-new-jersey-professional-attorney-services-rfp.html,
RFP,"ESTATE-10594-USA (Perth Amboy, New Jersey) - Professional Appraisal Services - Deadline December 11,2025",ESTATE-10594-USA,"Perth Amboy, New Jersey",Perth Amboy,New Jersey,,"December 11,2025",Professional Appraisal Services,https://www.rfpmart.com1044393-usa-perth-amboy-new-jersey-professional-appraisal-services-rfp.html,
RFP,"ACCT-23881-USA (Perth Amboy, New Jersey) - Professional Accountant Services - Deadline December 11,2025",ACCT-23881-USA,"Perth Amboy, New Jersey",Perth Amboy,New Jersey,,"December 11,2025",Professional Accountant Services,https://www.rfpmart.com1044392-usa-perth-amboy-new-jersey-professional-accountant-services-rfp.html,
RFP,"CONS-18344-USA (Perth Amboy, New Jersey) - Professional Engineering Services - Deadline December 11,2025",CONS-18344-USA,"Perth Amboy, New Jersey",Perth Amboy,New Jersey,,"December 11,2025",Professional Engineering Services,https://www.rfpmart.com1044391-usa-perth-amboy-new-jersey-professional-engineering-services-rfp.html,
RFP,"ACCT-23880-USA (Perth Amboy, New Jersey) - Professional Auditor Services - Deadline December 11,2025",ACCT-23880-USA,"Perth Amboy, New Jersey",Perth Amboy,New Jersey,,"December 11,2025",Professional Auditor Services,https://www.rfpmart.com1044390-usa-perth-amboy-new-jersey-professional-auditor-services-rfp.html,
RFP,"MRB-50791-USA (Colorado) - RFI for Special Events and Conferences Support Services - Deadline December 15,2025",MRB-50791-USA,Colorado,,,,"December 15,2025",RFI for Special Events and Conferences Support Services,https://www.rfpmart.com1044389-usa-colorado-rfi-for-special-events-and-conferences-support-services-rfp.html,
RFP,"EXTRA-61765-USA (Perth Amboy, New Jersey) - Professional Relocation Services - Deadline December 11,2025",EXTRA-61765-USA,"Perth Amboy, New Jersey",Perth Amboy,New Jersey,,"December 11,2025",Professional Relocation Services,https://www.rfpmart.com1044387-usa-perth-amboy-new-jersey-professional-relocation-services-rfp.html,
RFP,"ITES-9351-USA (Washington, DC) - RFI for Penetration Testing as a Service  - Deadline December 8,2025",ITES-9351-USA,"Washington, DC",Washington,DC,,"December 8,2025",RFI for Penetration Testing as a Service,https://www.rfpmart.com1044386-usa-washington-dc-rfi-for-penetration-testing-as-a-service-rfp.html,
RFP,"CONS-18343-USA (Perth Amboy, New Jersey) - Professional Redevelopment Planning Services - Deadline December 11,2025",CONS-18343-USA,"Perth Amboy, New Jersey",Perth Amboy,New Jersey,,"December 11,2025",Professional Redevelopment Planning Services,https://www.rfpmart.com1044385-usa-perth-amboy-new-jersey-professional-redevelopment-planning-services-rfp.html,
RFP,"LEGAL-15713-USA (Albany, New York) - Outside Counsel Legal Services - Deadline December 19,2025",LEGAL-15713-USA,"Albany, New York",Albany,New York,,"December 19,2025",Outside Counsel Legal Services,https://www.rfpmart.com1044384-usa-albany-new-york-outside-counsel-legal-services-rfp.html,
RFP,"ESTATE-10593-USA (Perth Amboy, New Jersey) - Professional Real Estate Transaction Services - Deadline December 11,2025",ESTATE-10593-USA,"Perth Amboy, New Jersey",Perth Amboy,New Jersey,,"December 11,2025",Professional Real Estate Transaction Services,https://www.rfpmart.com1044383-usa-perth-amboy-new-jersey-professional-real-estate-transaction-services-rfp.html,
RFP,"MRB-50788-USA (New Jersey) - Professional Public Relations Services - Deadline December 11,2025",MRB-50788-USA,New Jersey,,,,"December 11,2025",Professional Public Relations Services,https://www.rfpmart.com1044381-usa-new-jersey-professional-public-relations-services-rfp.html,
RFP,"EXTRA-61766-USA (New York) - Protective Coating Consulting Services - Deadline December 19,2025",EXTRA-61766-USA,New York,,,,"December 19,2025",Protective Coating Consulting Services,https://www.rfpmart.com1044380-usa-new-york-protective-coating-consulting-services-rfp.html,
RFP,"CASE-1663-USA (Arizona) - Non-Congregate Bridge Shelter Operations and Case Management Service - Deadline December 19,2025",CASE-1663-USA,Arizona,,,,"December 19,2025",Non-Congregate Bridge Shelter Operations and Case Management Service,https://www.rfpmart.com1044379-usa-arizona-non-congregate-bridge-shelter-operations-and-case-management-service-rfp.html,
RFP,"EXTRA-61758-USA (North Charleston, South Carolina) - Maritime Domain Awareness System Repair and Technical Services  - Deadline November 20,2025",EXTRA-61758-USA,"North Charleston, South Carolina",North Charleston,South Carolina,,"November 20,2025",Maritime Domain Awareness System Repair and Technical Services,https://www.rfpmart.com1044378-usa-north-charleston-south-carolina-maritime-domain-awareness-system-repair-and-technical-services-rfp.html,
RFP,"DRA-9463-USA (West Trenton, New Jersey) - Creel Survey Service - Deadline December 19,2025",DRA-9463-USA,"West Trenton, New Jersey",West Trenton,New Jersey,,"December 19,2025",Creel Survey Service,https://www.rfpmart.com1044377-usa-west-trenton-new-jersey-creel-survey-service-rfp.html,
RFP,"LEGAL-15705-USA (Albany, New York) - Legal Services - Deadline December 15,2025",LEGAL-15705-USA,"Albany, New York",Albany,New York,,"December 15,2025",Legal Services,https://www.rfpmart.com1044376-usa-albany-new-york-legal-services-rfp.html,
RFP,"MRB-50787-USA (New Jersey) - Entertainment Production Services - Deadline December 3,2025",MRB-50787-USA,New Jersey,,,,"December 3,2025",Entertainment Production Services,https://www.rfpmart.com1044375-usa-new-jersey-entertainment-production-services-rfp.html,
RFP,"EXTRA-61757-USA (Elmwood Park, New Jersey) - Risk Management Consultant Services - Deadline December 9,2025",EXTRA-61757-USA,"Elmwood Park, New Jersey",Elmwood Park,New Jersey,,"December 9,2025",Risk Management Consultant Services,https://www.rfpmart.com1044374-usa-elmwood-park-new-jersey-risk-management-consultant-services-rfp.html,
RFP,"EXTRA-61764- USA (Essex, New Jersey) - Social Services - Deadline December 9,2025",EXTRA-61764-,"Essex, New Jersey",Essex,New Jersey,,"December 9,2025",Social Services,https://www.rfpmart.com1044373-usa-essex-new-jersey-social-services-rfp.html,
RFP,"PM-22449-USA (Allentown, Pennsylvania) - Digital Color Copier Services - Deadline December 2,2025",PM-22449-USA,"Allentown, Pennsylvania",Allentown,Pennsylvania,,"December 2,2025",Digital Color Copier Services,https://www.rfpmart.com1044372-usa-allentown-pennsylvania-digital-color-copier-services-rfp.html,
RFP,"SURG-5363-USA (Kansas, Missouri) - Patient Simulator Services - Deadline December 3,2025",SURG-5363-USA,"Kansas, Missouri",Kansas,Missouri,,"December 3,2025",Patient Simulator Services,https://www.rfpmart.com1044371-usa-kansas-missouri-patient-simulator-services-rfp.html,
RFP,"CSE-22156-Canada (Agassiz, British Columbia) - Security Guard Services - Deadline November 27,2025",CSE-22156-C,"Agassiz, British Columbia",Agassiz,British Columbia,,"November 27,2025",Security Guard Services,https://www.rfpmart.com1044370-canada-agassiz-british-columbia-security-guard-services-rfp.html,
RFP,"CSE-22155-Canada (British Columbia) - Security Services - Deadline December 18,2025",CSE-22155-C,British Columbia,,,,"December 18,2025",Security Services,https://www.rfpmart.com1044369-canada-british-columbia-security-services-rfp.html,
RFP,"CLEANING-10784- USA (Yerington, Nevada) - Janitorial Services - Deadline December 8,2025",CLEANING-10784-,"Yerington, Nevada",Yerington,Nevada,,"December 8,2025",Janitorial Services,https://www.rfpmart.com1044368-usa-yerington-nevada-janitorial-services-rfp.html,
RFP,"US-FED-00000357448-Tucson CMOP Shipping Box/Coolers - Deadline November 20,2026",US-FED-00000357448-T,,,,,"November 20,2026",,https://www.rfpmart.com1044367-us-fed-tucson-cmop-shipping-boxcoolers.html,
RFP,"US-FED-00000357447-US GOVERNMENT SEEKS SOURCES FOR LEASED RETAIL AND RELATED SPACE - Deadline December 1,2025",US-FED-00000357447-US,,,,,"December 1,2025",,https://www.rfpmart.com1044366-us-fed-us-government-seeks-sources-for-leased-retail-and-related-space.html,
RFP,"CONS-18340- USA (Los Angeles, California) - Lease Clean Power Alliance Mobile Education Unit Services - Deadline January 8,2026",CONS-18340-,"Los Angeles, California",Los Angeles,California,,"January 8,2026",Lease Clean Power Alliance Mobile Education Unit Services,https://www.rfpmart.com1044365-usa-los-angeles-california-lease-clean-power-alliance-mobile-education-unit-services-rfp.html,
RFP,"EXTRA-61756-USA (West Columbia, South Carolina) - Benefits Enrolment Services - Deadline December 18,2025",EXTRA-61756-USA,"West Columbia, South Carolina",West Columbia,South Carolina,,"December 18,2025",Benefits Enrolment Services,https://www.rfpmart.com1044364-usa-west-columbia-south-carolina-benefits-enrolment-services-rfp.html,
