Type,Title,Deadline,URL,Description,GrantWatch ID
Grant,"Grants to North Carolina Nonprofits, Agencies, Faith-Based Institutions, and Rescue Organizati...",11/18/25,https://www.grantwatch.com/grant/217275/grants-to-north-carolina-nonprofits-agencies-faith-based-institutions-and-rescue-organizations-for-disaster-relief-efforts-in-eligible-regions.html,"Grants to North Carolina nonprofit organizations, government agencies, faith-based institutions, and rescue organizations for disaster relief efforts in eligible regions. Funding is intended to support long-term recovery and rebuilding efforts in communities across wes...",217275
Grant,"Grants to USA Nonprofits, Agencies, For-Profits, and IHEs for Scientific Research Related to T...",11/18/25,https://www.grantwatch.com/grant/222171/grants-to-usa-nonprofits-agencies-for-profits-and-ihes-for-scientific-research-related-to-tobacco-regulation.html,"Grants to USA and territories nonprofit organizations, government agencies, for-profits, and institutions of higher education for scientific research related to tobacco regulation. Applicants are advised that the required registrations must be completed prior to applyi...",222171
Grant,"Grants to Oklahoma Nonprofit Organizations, IHEs, Tribal Nations, and Government Agencies for ...",11/18/25,https://www.grantwatch.com/grant/222416/grants-to-oklahoma-nonprofit-organizations-ihes-tribal-nations-and-government-agencies-for-projects-to-improve-the-health-of-residents-statewide.html,"Grants to Oklahoma nonprofit organizations, IHEs, Tribal nations, and government agencies for projects to improve the health of residents statewide. Applicants are required to register in the grant portal prior to submitting an application. Funding is intended to impro...",222416
Grant,"In-Kind Donations of an AI Teacher Assistant Bot to USA, Canada, and International Educators f...",11/18/25,https://www.grantwatch.com/grant/224452/in-kind-donations-of-an-ai-teacher-assistant-bot-to-usa-canada-and-international-educators-for-language-curriculum-enhancement.html,"In-kind donations of an AI teacher assistant robot valued at $3,000 to USA, Canada, and International educators for language curriculum enhancement. Funding is intended to enable educational institutions to overcome challenges such as overburdened teachers, limited fin...",224452
Grant,"Grants to USA Nonprofits, Agencies, IHEs, and Tribal Governments for Joint Research Projects i...",11/19/25,https://www.grantwatch.com/grant/151112/grants-to-usa-nonprofits-agencies-ihes-and-tribal-governments-for-joint-research-projects-in-the-humanities.html,"Grants to USA and territories nonprofit organizations, government agencies, IHEs, and tribal governments for joint research projects on humanities-related topics. Applicants are advised that required registrations may take several weeks to complete. Funding is intended...",151112
Grant,Grants to USA and International Nonprofits for International Travel to Promote Cultural Exchan...,11/19/25,https://www.grantwatch.com/grant/161987/grants-to-usa-and-international-nonprofits-for-international-travel-to-promote-cultural-exchange-and-understanding.html,"Grants to USA and International nonprofit organizations for international travel-related expenses. Funding is intended to support costs such as airfare, visas, and living expenses incurred to further international cultural exchange and understanding. Eligible countries...",161987
Grant,"Grants to Canada Arts Organizations, First Nations, and Presenting Organizations to Foster Pub...",11/19/25,https://www.grantwatch.com/grant/177919/grants-to-canada-arts-organizations-first-nations-and-presenting-organizations-to-foster-public-appreciation-for-the-arts.html,"Grants to Canada arts organizations, groups, First Nations groups, and presenting organizations for projects that foster public enjoyment and appreciation of the arts. Grants fund a wide range of live events, publications, and other initiatives that build connections b...",177919
Grant,Grants to North Carolina Nonprofits and IHEs to Host Conferences and Events Related to the Lif...,11/19/25,https://www.grantwatch.com/grant/185084/grants-to-north-carolina-nonprofits-and-ihes-to-host-conferences-and-events-related-to-the-life-sciences.html,"Grants to North Carolina nonprofit organizations and IHEs to host meetings, conferences, and events emphasizing the life sciences and biotechnology. Applicants must register on the online portal prior to submitting an application. Funding is intended for programs and e...",185084
Grant,Grants to North Carolina Nonprofits and IHEs to Host National and International Life Science a...,11/19/25,https://www.grantwatch.com/grant/185085/grants-to-north-carolina-nonprofits-and-ihes-to-host-national-and-international-life-science-and-biotechnology-meetings.html,"Grants of up to $10,000 to North Carolina nonprofit organizations and IHEs to host national and international meetings that relate to the life sciences and biotechnology. Applicants must register on the online portal prior to submitting an application. Funding is inten...",185085
Grant,Fellowships to USA and International Arts Professionals and Scholars for Study and Research Tr...,11/19/25,https://www.grantwatch.com/grant/186945/fellowships-to-usa-and-international-arts-professionals-and-scholars-for-study-and-research-trips.html,"Fellowships of up to $35,000 to USA and International scholars, artists, and arts professionals to undertake self-directed study and research trips. Funding is intended to allow individuals from eligible countries in Asia to travel to the United States, for travel with...",186945
Grant,Grants to Wisconsin School Districts to Promote Workforce Training for High School Students,11/19/25,https://www.grantwatch.com/grant/188388/grants-to-wisconsin-school-districts-to-promote-workforce-training-for-high-school-students.html,Grants to Wisconsin school districts for equipment related to workforce training programs designed for high school students. Funding is intended to train secondary school students in advanced manufacturing or construction fields to help address Wisconsin's skilled work...,188388
Grant,"Fellowships to USA, Canada, and International Researchers for Academic Research in Israel",11/19/25,https://www.grantwatch.com/grant/192269/fellowships-to-usa-canada-and-international-researchers-for-academic-research-in-israel.html,"Fellowships to USA, Canada, and International researchers for academic research in Israel. The fellowship is open to research projects in all academic areas of study. The purpose of the funding is to connect post-doctoral researchers with leading researchers and academ...",192269
Grant,"Grant to a North Carolina Nonprofit, Agency, or IHE to Provide Coaching to Childcare Workers",11/19/25,https://www.grantwatch.com/grant/201816/grant-to-a-north-carolina-nonprofit-agency-or-ihe-to-provide-coaching-to-childcare-workers.html,"Grant to a North Carolina nonprofit organization, government agency, or academic institution to implement a statewide program that will offer professional support to workers who provide care to children ages three and under. Funding is intended to provide coaching and ...",201816
Grant,Grants to USA Educators and Administrators to Purchase Humane Science Education Tools,11/19/25,https://www.grantwatch.com/grant/207466/grants-to-usa-educators-and-administrators-to-purchase-humane-science-education-tools.html,"Grants of up to $1,000 to USA teachers and school administrators for humane science education alternatives. The goal of this program is to facilitate the replacement of animal dissection instruction with humane anatomy models. Eligible expenses include a variety of hum...",207466
Grant,"Fellowships to USA, Canada, and International Black Female Writers to Participate in a Residen...",11/19/25,https://www.grantwatch.com/grant/212402/fellowships-to-usa-canada-and-international-black-female-writers-to-participate-in-a-residency-for-the-pursuit-of-creative-writing.html,"Fellowships to USA, Canada, and International Black female writers to participate in a ten-day residency to pursue creative writing. This year, the fellowship will focus on the genre of fiction. The program is intended to support the writing of new works, or to develop...",212402
Grant,"Grants to USA Writers, Small Presses, and Independent Literary Publishers in Eligible States t...",11/19/25,https://www.grantwatch.com/grant/217834/grants-to-usa-writers-small-presses-and-independent-literary-publishers-in-eligible-states-to-support-southern-literary-traditions.html,"Grants of up to $5,000 to USA writers, small presses, and independent literary publishers in eligible states to support Southern literary traditions. Funding is intended to support creative literary work creation and publishing, community engagement, and professional d...",217834
Grant,Grants to Minnesota Organizations to Address Urgent and Unexpected Needs,11/19/25,https://www.grantwatch.com/grant/219620/grants-to-minnesota-organizations-to-address-urgent-and-unexpected-needs.html,Grants to Minnesota organizations to address urgent and unexpected needs. Funding is intended to mitigate diseases or environmental issues that pose a threat to residents or national resources. Funding may also be used to acquire land in an expedited manner. Use of the...,219620
Grant,Accelerator for Maryland Early-Stage Companies Addressing Healthcare Issues with AI and Other ...,11/19/25,https://www.grantwatch.com/grant/220475/accelerator-for-maryland-early-stage-companies-addressing-healthcare-issues-with-ai-and-other-tech.html,Opportunity for Maryland early-stage companies to participate in a business accelerator program. The purpose of the program is to support early-stage teams addressing issues in healthcare with new tech. Solutions that incorporate artificial intelligence are of particul...,220475
Grant,"Opportunity for USA, Canada, and International Start-Up Companies and Entrepreneurs to Partici...",11/19/25,https://www.grantwatch.com/grant/220480/opportunity-for-usa-canada-and-international-start-up-companies-and-entrepreneurs-to-participate-in-an-accelerator-program-in-new-york-city.html,"Opportunity for USA, Canada, and International start-up companies and entrepreneurs to participate in an accelerator program in New York City. The purpose of the program is to provide companies with opportunities for growth and success through mentorship, workshops, re...",220480
Grant,Grants to New Jersey Faculty Members at Eligible Institutions to Conduct Research Projects on ...,11/19/25,https://www.grantwatch.com/grant/220653/grants-to-new-jersey-faculty-members-at-eligible-institutions-to-conduct-research-projects-on-behavioral-science-and-community-health.html,"Grants of up to $35,000 to New Jersey faculty members and clinicians at eligible institutions to conduct research projects on topics including behavioral science, health education, and community health. Funding is intended to cover the direct program costs of conductin...",220653
Grant,Grants to USA Individuals with Breast Cancer for Basic Living Expenses,11/19/25,https://www.grantwatch.com/grant/220751/grants-to-usa-individuals-with-breast-cancer-for-basic-living-expenses.html,"Grants to USA individuals with breast cancer for basic living expenses. Funding is intended to assist cancer patients with expenses such as rent, utilities, car payments, mortgage payments, and the like to remove some of the financial burden from them. Applicants must ...",220751
Grant,"Opportunity for USA LEAs, CTEs, and Tribes to Participate in a High School Challenge to Develo...",11/19/25,https://www.grantwatch.com/grant/223256/opportunity-for-usa-leas-ctes-and-tribes-to-participate-in-a-high-school-challenge-to-develop-ai-based-solutions-to-workforce-challenges.html,"Opportunity for USA local education agencies, career and technical education schools, education service agencies, Tribes, and Tribal organizations to participate in a competition for high school student teams to develop AI-based projects that address workforce challeng...",223256
Grant,Opportunity for Illinois Health Tech Companies and Entrepreneurs to Participate in a Business ...,11/19/25,https://www.grantwatch.com/grant/223345/opportunity-for-illinois-health-tech-companies-and-entrepreneurs-to-participate-in-a-business-accelerator.html,"Opportunity for Illinois entrepreneurs and early-stage tech companies to participate in an accelerator program. Funding is intended for businesses that are innovating in health technology, including the fields of artificial intelligence, access to care, and digital the...",223345
Grant,"Opportunity for USA, Canada, and International Tech Entrepreneurs and Start-Ups to Participate...",11/19/25,https://www.grantwatch.com/grant/223346/opportunity-for-usa-canada-and-international-tech-entrepreneurs-and-start-ups-to-participate-in-a-business-accelerator.html,"Opportunity for USA, Canada, and International tech entrepreneurs and start-up companies to participate in a business accelerator program. The purpose of the program is to provide support to companies that are developing tech innovation in any industry. The accelerator...",223346
Grant,"Opportunity for USA, Canada, and International Start-Ups to Participate in an Accelerator in t...",11/19/25,https://www.grantwatch.com/grant/223347/opportunity-for-usa-canada-and-international-start-ups-to-participate-in-an-accelerator-in-the-uk.html,"Opportunity for USA, Canada, and International start-up companies to participate in an accelerator program in the United Kingdom. The accelerator program includes mentorship, workshops and other resources, funding, fundraising support, and exposure to a global network.",223347
Grant,Opportunity for Colorado Tech Start-Up Companies and Founders to Participate in a Business Acc...,11/19/25,https://www.grantwatch.com/grant/223348/opportunity-for-colorado-tech-start-up-companies-and-founders-to-participate-in-a-business-accelerator-program.html,Opportunity for Colorado tech start-up companies and founders to participate in a business accelerator program. The purpose of the program is to support companies that are developing innovative technologies that address the challenges of the labor market. The accelerat...,223348
Grant,Opportunity for California Qualifying Tech Entrepreneurs and Start-Ups to Participate in a Bus...,11/19/25,https://www.grantwatch.com/grant/223349/opportunity-for-california-qualifying-tech-entrepreneurs-and-start-ups-to-participate-in-a-business-development-program.html,"Opportunity for California qualifying tech entrepreneurs and start-up companies to participate in a business development program. Startups from all industries may apply, with an emphasis on companies creating innovation in the areas of healthcare, AI, media technology,...",223349
Grant,"Grants to Minnesota Agencies, Tribes, Private Developers, and Nonprofits to Improve Housing St...",11/19/25,https://www.grantwatch.com/grant/223545/grants-to-minnesota-agencies-tribes-private-developers-and-nonprofits-to-improve-housing-structures.html,"Grants to Minnesota agencies, Tribes, private developers, and nonprofit organizations to improve housing structures. Only permanent residential housing is eligible for this program, and the applicant must own or control the structure. Funding can be used for the rehabi...",223545
Grant,Contract for Services to a New York Contractor to Administer Computer-Based Professional Exami...,11/19/25,https://www.grantwatch.com/grant/223639/contract-for-services-to-a-new-york-contractor-to-administer-computer-based-professional-examinations.html,"Contract for services to a New York contractor to administer computer-based professional examinations. The contractor must develop, prepare, administer, score, and distribute results for certification examinations for EMS providers. The contractor must demonstrate prio...",223639
Grant,Grants to New Jersey Researchers Affiliated with Eligible Institutions to Conduct Early-Stage ...,11/19/25,https://www.grantwatch.com/grant/224005/grants-to-new-jersey-researchers-affiliated-with-eligible-institutions-to-conduct-early-stage-health-research.html,"Grants of up to $50,000 to New Jersey researchers affiliated with eligible institutions to conduct early-stage health research. This grant is intended to provide initial funding to researchers to begin their research projects and allow them to secure additional externa...",224005
Grant,Grants to Maryland IHEs to Promote Clean Energy Projects,11/19/25,https://www.grantwatch.com/grant/224045/grants-to-maryland-ihes-to-promote-clean-energy-projects.html,"Grants to Maryland academic institutions for clean energy projects. Funding is intended to adopt on-site renewable energy technologies, integrate strategic energy planning into operations and academic curricula, and advance workforce development in the renewable energy...",224045
Grant,"Grants to Illinois Nonprofits, Agencies, Businesses, Educational Institutions, and Individuals...",11/19/25,https://www.grantwatch.com/grant/224364/grants-to-illinois-nonprofits-agencies-businesses-educational-institutions-and-individuals-to-reduce-agricultural-pollution.html,"Grants to Illinois nonprofit organizations, government agencies, small businesses, educational institutions, and individuals for projects that reduce agricultural pollution into public drinking water. Applicants are advised that required registrations may take several ...",224364
Grant,"Contract for Services to New York Nonprofits, For-Profits, IHEs, and Agencies to Develop Mater...",11/19/25,https://www.grantwatch.com/grant/224380/contract-for-services-to-new-york-nonprofits-for-profits-ihes-and-agencies-to-develop-materials-and-online-resources-related-to-tolerance.html,"Contract for services to New York nonprofits and for-profit organizations, institutions of higher education, and public agencies to develop materials, professional development resources, and an online platform related to diversity, civics, and religious tolerance. One ...",224380
Grant,Grant to a Virginia Nonprofit in an Eligible Region for Housing Services,11/19/25,https://www.grantwatch.com/grant/224439/grant-to-a-virginia-nonprofit-in-an-eligible-region-for-housing-services.html,"Grant to a Virginia nonprofit organization in an eligible region for housing services. Funding is intended for assistance of displaced manufactured and mobile home community members to relocate to safer housing. Eligible expenses include moving expenses, accessibility ...",224439
Grant,Grants to USA Agricultural Professionals in Multiple States for Collaborative Projects to Supp...,11/20/25,https://www.grantwatch.com/grant/158703/grants-to-usa-agricultural-professionals-in-multiple-states-for-collaborative-projects-to-support-sustainability-practices.html,"Grants of up to $85,000 to USA agricultural professionals in multiple states and territories to conduct collaborative projects with qualifying businesses to further agricultural sustainability. Funding is intended to support projects that incorporate both research and ...",158703
Grant,Grants to USA Agricultural Producers in Multiple States for Projects to Advance Sustainable Ag...,11/20/25,https://www.grantwatch.com/grant/158702/grants-to-usa-agricultural-producers-in-multiple-states-for-projects-to-advance-sustainable-agriculture.html,Grants to USA agricultural producers collaborating with a technical advisor in multiple states and territories to benefit the agriculture industry. Funding is intended to support projects that promote sustainable agriculture. With the support and guidance of the techni...,158702
Grant,"Contract to a New York Nonprofit, For-Profit, or Agency to Evaluate Service Providers for Chil...",11/20/25,https://www.grantwatch.com/grant/160144/contract-to-a-new-york-nonprofit-for-profit-or-agency-to-evaluate-service-providers-for-children.html,"Contract for services to a New York nonprofit or for-profit organization or government entity to provide monitoring services for State early intervention providers. The grantee will evaluate providers serving children with disabilities, from birth through three years, ...",160144
Grant,Grants to USA Agricultural Professionals Partnering with Farmers for Sustainable Farming Resea...,11/20/25,https://www.grantwatch.com/grant/163678/grants-to-usa-agricultural-professionals-partnering-with-farmers-for-sustainable-farming-research-and-education-in-multiple-states.html,"Grants of up to $50,000 to USA agricultural professionals partnering with groups of farmers for sustainable farming projects in multiple states. Funding is intended for educational, research, and demonstration projects. Eligible states include Illinois, Indiana, Iowa, ...",163678
Grant,Grants to Kansas Organizations for Events and Activities that Encourage Overnight Tourism in E...,11/20/25,https://www.grantwatch.com/grant/167331/grants-to-kansas-organizations-for-events-and-activities-that-encourage-overnight-tourism-in-eligible-locations.html,"Grants of up to $1,000 to Kansas organizations in eligible areas for projects, activities, and events that encourage tourism and overnight visits. Eligible projects are those that are designed to promote economic growth, particularly through overnight stays in local lo...",167331
Grant,Grants to North Carolina Nonprofits and For-Profits to Promote Recycling Efforts,11/20/25,https://www.grantwatch.com/grant/176218/grants-to-north-carolina-nonprofits-and-for-profits-to-promote-recycling-efforts.html,"Grants of up $75,000 to North Carolina businesses and nonprofit organizations to support recycling efforts. Funding is intended to reduce the flow of solid waste to disposal facilities and encourage the sustainable recovery of materials from the waste stream. Generally...",176218
Grant,Grants to USA Agricultural Professionals in Multiple States for Training Related to Sustainabi...,11/20/25,https://www.grantwatch.com/grant/176395/grants-to-usa-agricultural-professionals-in-multiple-states-for-training-related-to-sustainability-in-agriculture.html,Grants to USA agricultural professionals in multiple states and territories for professional training related to sustainability in agriculture. Funding is intended to support programs that educate these professionals so that they will be able to conduct training progra...,176395
Grant,Grants to New Jersey Nonprofits in Eligible Regions for Initiatives to Improve the Health and ...,11/20/25,https://www.grantwatch.com/grant/177858/grants-to-new-jersey-nonprofits-in-eligible-regions-for-initiatives-to-improve-the-health-and-wellness-of-local-residents.html,"Grants to New Jersey nonprofit organizations in eligible regions for initiatives to improve the health and wellness of local residents. Applicants must contact staff prior to submitting an application. Funding is intended for proposals benefitting underserved, vulnerab...",177858
Grant,Grants to Texas Organizations and Agencies to Address Critical Needs in Eligible Counties,11/20/25,https://www.grantwatch.com/grant/180830/grants-to-texas-organizations-and-agencies-to-address-critical-needs-in-eligible-counties.html,"Grants of up to $10,000 per year to Texas organizations and agencies to address community needs in eligible counties. Funding is intended for programs and activities in the focus areas of food, shelter, clothing, health needs, education, and public safety. Programs sho...",180830
Grant,Grants to New Hampshire K-12 Public Schools for Music Instruction and Programming,11/20/25,https://www.grantwatch.com/grant/182742/grants-to-new-hampshire-k-public-schools-for-music-instruction-and-programming.html,"Grants of up to $7,500 to New Hampshire K-12 public schools for educational music programming. Eligible uses of funds include programs, equipment, performances and concerts, musical instruction, and field trips. Funding is intended to benefit music and voice programs a...",182742
Grant,Grants to Pennsylvania Nonprofits for Capital Projects that Benefit the Jewish Community in El...,11/20/25,https://www.grantwatch.com/grant/184962/grants-to-pennsylvania-nonprofits-for-capital-projects-that-benefit-the-jewish-community-in-eligible-regions.html,"Grants of up to $50,000 to Pennsylvania qualifying nonprofit organizations for capital projects within the Jewish community in eligible locations. Funding is intended for capital improvement, infrastructure, and real estate projects. Priority is for initiatives to enha...",184962
Grant,Grants to Delaware and Pennsylvania K-12 Teachers for Innovative Educational Programming in El...,11/20/25,https://www.grantwatch.com/grant/186846/grants-to-delaware-and-pennsylvania-k-teachers-for-innovative-educational-programming-in-eligible-locations.html,"Grants of up to $500 to Delaware and Pennsylvania K-12 teachers for innovative educational programming in eligible locations. Funding is intended to support activities to facilitate learning and engage students. Eligible expenses include books, classroom programs or pr...",186846
Grant,"Grants to Missouri Nonprofits, Agencies, Churches, and Schools to Meet the Needs of the Commun...",11/20/25,https://www.grantwatch.com/grant/187160/grants-to-missouri-nonprofits-agencies-churches-and-schools-to-meet-the-needs-of-the-community.html,"Grants of up to $3,000 to Missouri nonprofit organizations, government agencies, churches, and school districts for projects to meet the needs of the community in eligible locations. Funding is intended to enhance the quality of life for local residents and provide inn...",187160
Grant,"Grants to Oregon Artists, School Groups, Students, and Nonprofits for New Arts and Cultural Pr...",11/20/25,https://www.grantwatch.com/grant/192628/grants-to-oregon-artists-school-groups-students-and-nonprofits-for-new-arts-and-cultural-projects.html,"Grants of up to $2,500 to Oregon artists, school groups, students, and nonprofit organizations for arts and cultural projects in eligible areas. Funding is intended to support projects with an urgent timeline or projects that are unanticipated. Funding may be used to c...",192628
Grant,Grants and In-Kind Support to South Carolina Early Career Artists for Professional Development,11/20/25,https://www.grantwatch.com/grant/192846/grants-and-in-kind-support-to-south-carolina-early-career-artists-for-professional-development.html,"Grants of up to $1,800 and in-kind support to South Carolina early-career artists for professional development opportunities. Funding is intended to provide artists with assistance for basic needs and to provide mentoring and other opportunities for career advancement....",192846
Grant,Grants to USA IHEs for Projects to Increase the Diversity of Online Resources,11/20/25,https://www.grantwatch.com/grant/199921/grants-to-usa-ihes-for-projects-to-increase-the-diversity-of-online-resources.html,Grants to USA institutions of higher education for projects to increase the diversity of online resources. Funding is intended for projects that address the histories and interests of BIPOC and other marginalized communities. The goal of the program is to promote and p...,199921
Grant,Grants to USA Investigators Associated with IHEs for New Projects to Increase the Diversity of...,11/20/25,https://www.grantwatch.com/grant/199922/grants-to-usa-investigators-associated-with-ihes-for-new-projects-to-increase-the-diversity-of-online-resources.html,"Grants of up to $25,000 to USA investigators associated with IHEs for new projects to improve the availability of digital resources to humanities scholars. The purpose of funding is to promote racial and social justice in the field of academia. Priority is given to pro...",199922
Grant,"Grants to British Columbia Nonprofits, For-Profits, Tribes, IHEs, and Agencies for Workforce D...",11/20/25,https://www.grantwatch.com/grant/201287/grants-to-british-columbia-nonprofits-for-profits-tribes-ihes-and-agencies-for-workforce-development-in-the-tech-sector.html,"Grants of up to $10,000 and in-kind support to British Columbia nonprofit organizations, tech businesses, institutions of higher education, local agencies, and Indigenous communities to hire new employees in technology-based positions. Funding is intended to help under...",201287
Grant,Grants to Virginia Nonprofits to Benefit Residents in Eligible Locations,11/20/25,https://www.grantwatch.com/grant/204159/grants-to-virginia-nonprofits-to-benefit-residents-in-eligible-locations.html,"Grants to Virginia nonprofit organizations for a wide range of community benefit activities in eligible locations. Funding is intended for programs and projects that address community needs. Focus areas include children, the elderly, and healthcare. Geographic focus va...",204159
Grant,"Grants to British Columbia Nonprofits, Individuals, Businesses, Community Groups, and Schools ...",11/20/25,https://www.grantwatch.com/grant/205304/grants-to-british-columbia-nonprofits-individuals-businesses-community-groups-and-schools-for-projects-that-reduce-waste.html,"Grants to British Columbia nonprofit organizations, individuals, businesses, community groups, and schools for projects that reduce waste. Funding is intended for events, programs, activities, technologies, and artistic displays that help develop a localized circular e...",205304
Grant,"Grants to Texas Agencies, IHEs School Districts, and Law Enforcement Agencies for Protective G...",11/20/25,https://www.grantwatch.com/grant/205361/grants-to-texas-agencies-ihes-school-districts-and-law-enforcement-agencies-for-protective-gear.html,"Grants to Texas units of government, IHEs, and independent school districts that operate a law enforcement agency for protective gear designated for law enforcement officers. Applicants must complete required registrations before applying. Funding is intended to equip ...",205361
Grant,Grants to Virginia Nonprofits and Agencies for Community Development and Public Service Projec...,11/20/25,https://www.grantwatch.com/grant/205895/grants-to-virginia-nonprofits-and-agencies-for-community-development-and-public-service-projects-benefiting-lower-income-residents.html,"Grants to Virginia nonprofit organizations and local government agencies for activities that address community development, public service, and housing needs in eligible locations. Funding is intended to support projects focusing on neighborhood revitalization, afforda...",205895
Grant,Grants to Texas Independent Investigators to Conduct Cancer-Related Research at Nonprofit Inst...,11/20/25,https://www.grantwatch.com/grant/208165/grants-to-texas-independent-investigators-to-conduct-cancer-related-research-at-nonprofit-institutions.html,Grants to Texas independent investigators to conduct cancer-related research at nonprofit research institutions. The purpose of the program is to expand efforts in cancer research and to draw newly independent investigators to local institutions. Funding is intended to...,208165
Grant,Grants to Texas Nonprofit Institutions for Workforce Expansion Related to Cancer Research,11/20/25,https://www.grantwatch.com/grant/208166/grants-to-texas-nonprofit-institutions-for-workforce-expansion-related-to-cancer-research.html,Grants to Texas nonprofit research and academic institutions to find and hire investigators who have made exceptional contributions to the field of cancer research. Funding is intended for workforce expansion efforts to provide Texas institutions with a competitive edg...,208166
Grant,Grants to Texas IHEs and Research Institutes to Promote Cancer Studies,11/20/25,https://www.grantwatch.com/grant/209699/grants-to-texas-ihes-and-research-institutes-to-promote-cancer-studies.html,"Grants to Texas nonprofit research and academic institutions for workforce expansion efforts to promote and improve cancer research. Funding is intended to further research studies by attracting investigators who show a marked capacity for self-direction, whose work ha...",209699
Grant,"Grants to USA, Canada, and International Scientists for Research Related to Hematological Dise...",11/20/25,https://www.grantwatch.com/grant/211708/grants-to-usa-canada-and-international-scientists-for-research-related-to-hematological-diseases.html,"Grants to USA, Canada, and International scientists for research related to hematological diseases. Funding is intended to support young researchers who are advancing scientific understanding of blood cancer. Eligible applicants have received a doctoral degree in the p...",211708
