Type,Title,Organization,Deadline,Amount,Description,URL,Category,Posted Date
RFP,Association of Reptile and Amphibian Veterinarians invites applications for the conservation of reptiles and amphibians,,"January 15, 2026","$1,500 will be awarded to support conservation-based projects involving reptiles and/or amphibians","A grant of $1,500 will be awarded to support conservation-based projects involving reptiles and/or amphibians....",https://philanthropynewsdigest.org/rfps/rfp18493-association-of-reptile-and-amphibian-veterinarians-invites-applications-for-the-conservation-of-reptiles-and-amphibians,,"November 14, 2025"
RFP,"American Cancer Society, American Society for Radiation Oncology invite applications for Clinician Scientist Development Grant",,"December 1, 2025","$135,000 per year for three to five years to foster the research career of a clinician scientist in radiation oncology","The program awards grants of $135,000 per year for three to five years to foster the research career of a clinician scientist in radiation oncology....",https://philanthropynewsdigest.org/rfps/rfp18498-american-cancer-society-american-society-for-radiation-oncology-invite-applications-for-clinician-scientist-development-grant,,"November 15, 2025"
RFP,"American Cancer Society, American Society for Radiation Oncology invite applications for Clinician Scientist Development Grant",,"December 1, 2025","$135,000 per year for three to five years to foster the research career of a clinician scientist in radiation oncology","The program awards grants of $135,000 per year for three to five years to foster the research career of a clinician scientist in radiation oncology....",https://philanthropynewsdigest.org/rfps/rfp18498-american-cancer-society-american-society-for-radiation-oncology-invite-applications-for-clinician-scientist-development-grant,,"November 15, 2025"
RFP,American Lung Association invites applications for Dalsemer Interstitial Research Grant,,"December 1, 2025","up to $100,000 over two years will be awarded in support of junior investigators on the path to independence for research into the mechanisms and biology of interstitial lung disease","Grants of up to $100,000 over two years will be awarded in support of junior investigators on the path to independence for research into the mechanisms and biology of interstitial lung disease....",https://philanthropynewsdigest.org/rfps/rfp18484-american-lung-association-invites-applications-for-dalsemer-interstitial-research-grant,,"November 12, 2025"
RFP,Cystic Fibrosis Foundation invites applications for basic research,,"December 9, 2025","up to $150,000 will be awarded to support efforts that will improve the understanding of disease pathogenesis","Grants of up to $150,000 will be awarded to support efforts that will improve the understanding of disease pathogenesis....",https://philanthropynewsdigest.org/rfps/rfp18485-cystic-fibrosis-foundation-invites-applications-for-basic-research,,"November 12, 2025"
RFP,KidsGardening invites applications for 2026 Youth Garden Grants,,"December 12, 2025","$100,000 will be awarded to empower a Denver-area nonprofit to make significant and lasting improvements in how it meets its mission and serves its constituents",A total of 50 youth garden programs will be awarded $750 each in funding along with a collection of gardening supplies....,https://philanthropynewsdigest.org/rfps/rfp18487-kidsgardening-invites-applications-for-2026-youth-garden-grants,,"November 12, 2025"
RFP,KidsGardening invites applications for 2026 Youth Garden Grants,,"December 12, 2025",,A total of 50 youth garden programs will be awarded $750 each in funding along with a collection of gardening supplies....,https://philanthropynewsdigest.org/rfps/rfp18487-kidsgardening-invites-applications-for-2026-youth-garden-grants,,"November 12, 2025"
RFP,Impact100 Metro Denver issues 2026 RFP,,"December 15, 2025","$100,000 will be awarded to empower a Denver-area nonprofit to make significant and lasting improvements in how it meets its mission and serves its constituents","A grant of $100,000 will be awarded to empower a Denver-area nonprofit to make significant and lasting improvements in how it meets its mission and serves its constituents....",https://philanthropynewsdigest.org/rfps/rfp18488-impact100-metro-denver-issues-2026-rfp,,"November 12, 2025"
RFP,Laura Bush Foundation for America’s Libraries invites applications from schools around the country,,"December 31, 2025",,The foundation supports school libraries with the goal of encouraging students to develop a love of reading and learning....,https://philanthropynewsdigest.org/rfps/rfp18490-laura-bush-foundation-for-america-s-libraries-invites-applications-from-schools-around-the-country,,"November 13, 2025"
RFP,Laura Bush Foundation for America’s Libraries invites applications from schools around the country,,"December 31, 2025",,The foundation supports school libraries with the goal of encouraging students to develop a love of reading and learning....,https://philanthropynewsdigest.org/rfps/rfp18490-laura-bush-foundation-for-america-s-libraries-invites-applications-from-schools-around-the-country,,"November 13, 2025"
RFP,KidsGardening invites applications for 2026 Youth Garden Grants,,"December 12, 2025",,A total of 50 youth garden programs will be awarded $750 each in funding along with a collection of gardening supplies....,https://philanthropynewsdigest.org/rfps/rfp18487-kidsgardening-invites-applications-for-2026-youth-garden-grants,,"November 12, 2025"
RFP,KidsGardening invites applications for 2026 Youth Garden Grants,,"December 12, 2025",,A total of 50 youth garden programs will be awarded $750 each in funding along with a collection of gardening supplies....,https://philanthropynewsdigest.org/rfps/rfp18487-kidsgardening-invites-applications-for-2026-youth-garden-grants,,"November 12, 2025"
RFP,PCORI gives notice of upcoming announcement for research across the cancer care continuum,,"January 6, 2026","up to $10,000 will be awarded to pediatric residents to support innovative community-based child health initiatives",PCORI seeks applications led by researcher-community partnerships that may focus on a range of research questions and decisional dilemmas relevant to the participating communities that address variations in care and outcomes across the cancer continuum....,https://philanthropynewsdigest.org/rfps/rfp18503-pcori-gives-notice-of-upcoming-announcement-for-research-across-the-cancer-care-continuum,,"November 17, 2025"
RFP,PCORI gives notice of upcoming announcement for research across the cancer care continuum,,"January 6, 2026",,PCORI seeks applications led by researcher-community partnerships that may focus on a range of research questions and decisional dilemmas relevant to the participating communities that address variations in care and outcomes across the cancer continuum....,https://philanthropynewsdigest.org/rfps/rfp18503-pcori-gives-notice-of-upcoming-announcement-for-research-across-the-cancer-care-continuum,,"November 17, 2025"
RFP,American Academy of Pediatrics invites applications for children’s community-based health initiatives,,"January 20, 2026","up to $10,000 will be awarded to pediatric residents to support innovative community-based child health initiatives","Grants of up to $10,000 will be awarded to pediatric residents to support innovative community-based child health initiatives....",https://philanthropynewsdigest.org/rfps/rfp18496-american-academy-of-pediatrics-invites-applications-for-children-s-community-based-health-initiatives,,"November 14, 2025"
RFP,Impact100 Metro Denver issues 2026 RFP,,"December 15, 2025","$100,000 will be awarded to empower a Denver-area nonprofit to make significant and lasting improvements in how it meets its mission and serves its constituents","A grant of $100,000 will be awarded to empower a Denver-area nonprofit to make significant and lasting improvements in how it meets its mission and serves its constituents....",https://philanthropynewsdigest.org/rfps/rfp18488-impact100-metro-denver-issues-2026-rfp,,"November 12, 2025"
RFP,Simons Foundation invites applications for Scientific Software Research Faculty Award,,"January 21, 2026","up to $300,000 (to be expended over four years) to support teaching positions in Buddhist studies",The SSRF Award will support researchers who have a strong track record of leadership in scientific software development....,https://philanthropynewsdigest.org/rfps/rfp18508-simons-foundation-invites-applications-for-scientific-software-research-faculty-award,,"November 18, 2025"
RFP,Simons Foundation invites applications for Scientific Software Research Faculty Award,,"January 21, 2026",,The SSRF Award will support researchers who have a strong track record of leadership in scientific software development....,https://philanthropynewsdigest.org/rfps/rfp18508-simons-foundation-invites-applications-for-scientific-software-research-faculty-award,,"November 18, 2025"
RFP,ACLS invites applications for new professorships in Buddhist studies,,"January 27, 2026","up to $300,000 (to be expended over four years) to support teaching positions in Buddhist studies","Through the program, institutions of higher education worldwide can apply for grants of up to $300,000 (to be expended over four years) to support teaching positions in Buddhist studies....",https://philanthropynewsdigest.org/rfps/rfp18510-acls-invites-applications-for-new-professorships-in-buddhist-studies,,"November 18, 2025"
RFP,Carl & Marilynn Thoma Foundation invites applications for fellowships and travel awards,,"December 15, 2025",,The foundation offers predoctoral and postdoctoral fellowships in support of projects and research initiatives that will advance the study of the art of the Spanish Americas as well as grants for research-related expenses....,https://philanthropynewsdigest.org/rfps/rfp18489-carl-marilynn-thoma-foundation-invites-applications-for-fellowships-and-travel-awards,,"November 13, 2025"
RFP,Louisville Institute invites applications for First Book grant for scholars of color,,"January 15, 2026","up to $55,000 will be awarded to assist early-career, pre-tenured religion scholars of color in completing a major research project about Christian faith and life, the practice of ministry, religious trends and movements, Christian and other faith-based institutions, and religion and social issues","Grants of up to $55,000 will be awarded to assist early-career, pre-tenured religion scholars of color in completing a major research project about Christian faith and life, the practice of ministry, religious trends and movements, Christian and other faith-based institutions, and religion and social issues....",https://philanthropynewsdigest.org/rfps/rfp18481-louisville-institute-invites-applications-for-first-book-grant-for-scholars-of-color,,"November 11, 2025"
RFP,Building Changes issues 2025 RFP for Washington Youth & Families Fund,,"December 8, 2025",,"Building Changes will make available between $250,000 and $500,000 in funding to organizations in Washington State for projects introducing emerging healing services focused on trauma recovery as well as flexible housing supports for families experiencing homelessness....",https://philanthropynewsdigest.org/rfps/rfp18500-building-changes-issues-2025-rfp-for-washington-youth-families-fund,,"November 15, 2025"
RFP,Building Changes issues 2025 RFP for Washington Youth & Families Fund,,"December 8, 2025",,"Building Changes will make available between $250,000 and $500,000 in funding to organizations in Washington State for projects introducing emerging healing services focused on trauma recovery as well as flexible housing supports for families experiencing homelessness....",https://philanthropynewsdigest.org/rfps/rfp18500-building-changes-issues-2025-rfp-for-washington-youth-families-fund,,"November 15, 2025"
RFP,Building Changes issues 2025 RFP for Washington Youth & Families Fund,,"December 8, 2025",,"Building Changes will make available between $250,000 and $500,000 in funding to organizations in Washington State for projects introducing emerging healing services focused on trauma recovery as well as flexible housing supports for families experiencing homelessness....",https://philanthropynewsdigest.org/rfps/rfp18500-building-changes-issues-2025-rfp-for-washington-youth-families-fund,,"November 15, 2025"
RFP,Building Changes issues 2025 RFP for Washington Youth & Families Fund,,"December 8, 2025",,"Building Changes will make available between $250,000 and $500,000 in funding to organizations in Washington State for projects introducing emerging healing services focused on trauma recovery as well as flexible housing supports for families experiencing homelessness....",https://philanthropynewsdigest.org/rfps/rfp18500-building-changes-issues-2025-rfp-for-washington-youth-families-fund,,"November 15, 2025"
RFP,Indian Arts Research Center invites applications for artist-in-residence fellowships,,"January 15, 2026",,"Fellowships will be awarded to give Native artists time to explore new avenues of creativity, grapple with new ideas they can integrate into their work and strengthen their existing talents....",https://philanthropynewsdigest.org/rfps/rfp18507-indian-arts-research-center-invites-applications-for-artist-in-residence-fellowships,,"November 18, 2025"
RFP,Indian Arts Research Center invites applications for artist-in-residence fellowships,,"January 15, 2026",,"Fellowships will be awarded to give Native artists time to explore new avenues of creativity, grapple with new ideas they can integrate into their work and strengthen their existing talents....",https://philanthropynewsdigest.org/rfps/rfp18507-indian-arts-research-center-invites-applications-for-artist-in-residence-fellowships,,"November 18, 2025"
RFP,PCORI gives notice of upcoming announcement for research across the cancer care continuum,,"January 6, 2026","$135,000 per year for three to five years to foster the research career of a clinician scientist in radiation oncology",PCORI seeks applications led by researcher-community partnerships that may focus on a range of research questions and decisional dilemmas relevant to the participating communities that address variations in care and outcomes across the cancer continuum....,https://philanthropynewsdigest.org/rfps/rfp18503-pcori-gives-notice-of-upcoming-announcement-for-research-across-the-cancer-care-continuum,,"November 17, 2025"
RFP,PCORI gives notice of upcoming announcement for research across the cancer care continuum,,"January 6, 2026",,PCORI seeks applications led by researcher-community partnerships that may focus on a range of research questions and decisional dilemmas relevant to the participating communities that address variations in care and outcomes across the cancer continuum....,https://philanthropynewsdigest.org/rfps/rfp18503-pcori-gives-notice-of-upcoming-announcement-for-research-across-the-cancer-care-continuum,,"November 17, 2025"
RFP,American Heart Association invites applications for innovative technologies for women’s health,,"January 6, 2026",,Grants will be awarded in support of investigators or investigative teams proposing innovative technologies that disproportionally or exclusively impact women’s health....,https://philanthropynewsdigest.org/rfps/rfp18504-american-heart-association-invites-applications-for-innovative-technologies-for-women-s-health,,"November 17, 2025"
RFP,American Heart Association invites applications for Innovative Project Award,,"December 10, 2025",,"The award will provide $100,000 per year for up to two years to support highly innovative, high-impact research that could ultimately lead to critical discoveries or major advancements that will accelerate the field of cardiovascular and/or cerebrovascular research....",https://philanthropynewsdigest.org/rfps/rfp18501-american-heart-association-invites-applications-for-innovative-project-award,,"November 16, 2025"
RFP,"American Cancer Society, American Society for Radiation Oncology invite applications for Clinician Scientist Development Grant",,"December 1, 2025","$135,000 per year for three to five years to foster the research career of a clinician scientist in radiation oncology","The program awards grants of $135,000 per year for three to five years to foster the research career of a clinician scientist in radiation oncology....",https://philanthropynewsdigest.org/rfps/rfp18498-american-cancer-society-american-society-for-radiation-oncology-invite-applications-for-clinician-scientist-development-grant,,"November 15, 2025"
RFP,American Lung Association invites applications for Dalsemer Interstitial Research Grant,,"December 1, 2025","up to $100,000 over two years will be awarded in support of junior investigators on the path to independence for research into the mechanisms and biology of interstitial lung disease","Grants of up to $100,000 over two years will be awarded in support of junior investigators on the path to independence for research into the mechanisms and biology of interstitial lung disease....",https://philanthropynewsdigest.org/rfps/rfp18484-american-lung-association-invites-applications-for-dalsemer-interstitial-research-grant,,"November 12, 2025"
RFP,Cystic Fibrosis Foundation invites applications for basic research,,"December 9, 2025","up to $150,000 will be awarded to support efforts that will improve the understanding of disease pathogenesis","Grants of up to $150,000 will be awarded to support efforts that will improve the understanding of disease pathogenesis....",https://philanthropynewsdigest.org/rfps/rfp18485-cystic-fibrosis-foundation-invites-applications-for-basic-research,,"November 12, 2025"
RFP,American Academy of Pediatrics invites applications for children’s community-based health initiatives,,"January 20, 2026","up to $10,000 will be awarded to pediatric residents to support innovative community-based child health initiatives","Grants of up to $10,000 will be awarded to pediatric residents to support innovative community-based child health initiatives....",https://philanthropynewsdigest.org/rfps/rfp18496-american-academy-of-pediatrics-invites-applications-for-children-s-community-based-health-initiatives,,"November 14, 2025"
RFP,American Academy of Pediatrics invites applications for children’s community-based health initiatives,,"January 20, 2026","up to $10,000 will be awarded to pediatric residents to support innovative community-based child health initiatives","Grants of up to $10,000 will be awarded to pediatric residents to support innovative community-based child health initiatives....",https://philanthropynewsdigest.org/rfps/rfp18496-american-academy-of-pediatrics-invites-applications-for-children-s-community-based-health-initiatives,,"November 14, 2025"
RFP,American Psychological Foundation invites nominations for Diane J. Willis Early Career Award,,"January 9, 2026","$2,000 will be awarded to support talented young psychologists making contributions towards informing, advocating for, and improving the mental health and well-being of children and families, particularly through policy","Grants of $2,000 will be awarded to support talented young psychologists making contributions towards informing, advocating for, and improving the mental health and well-being of children and families, particularly through policy....",https://philanthropynewsdigest.org/rfps/rfp18491-american-psychological-foundation-invites-nominations-for-diane-j.-willis-early-career-award,,"November 13, 2025"
RFP,ACLS invites applications for new professorships in Buddhist studies,,"January 27, 2026","up to $300,000 (to be expended over four years) to support teaching positions in Buddhist studies","Through the program, institutions of higher education worldwide can apply for grants of up to $300,000 (to be expended over four years) to support teaching positions in Buddhist studies....",https://philanthropynewsdigest.org/rfps/rfp18510-acls-invites-applications-for-new-professorships-in-buddhist-studies,,"November 18, 2025"
RFP,ACLS invites applications for new professorships in Buddhist studies,,"January 27, 2026","up to $300,000 (to be expended over four years) to support teaching positions in Buddhist studies","Through the program, institutions of higher education worldwide can apply for grants of up to $300,000 (to be expended over four years) to support teaching positions in Buddhist studies....",https://philanthropynewsdigest.org/rfps/rfp18510-acls-invites-applications-for-new-professorships-in-buddhist-studies,,"November 18, 2025"
RFP,Louisville Institute invites applications for First Book grant for scholars of color,,"January 15, 2026","up to $55,000 will be awarded to assist early-career, pre-tenured religion scholars of color in completing a major research project about Christian faith and life, the practice of ministry, religious trends and movements, Christian and other faith-based institutions, and religion and social issues","Grants of up to $55,000 will be awarded to assist early-career, pre-tenured religion scholars of color in completing a major research project about Christian faith and life, the practice of ministry, religious trends and movements, Christian and other faith-based institutions, and religion and social issues....",https://philanthropynewsdigest.org/rfps/rfp18481-louisville-institute-invites-applications-for-first-book-grant-for-scholars-of-color,,"November 11, 2025"
RFP,Carl & Marilynn Thoma Foundation invites applications for fellowships and travel awards,,"December 15, 2025",,The foundation offers predoctoral and postdoctoral fellowships in support of projects and research initiatives that will advance the study of the art of the Spanish Americas as well as grants for research-related expenses....,https://philanthropynewsdigest.org/rfps/rfp18489-carl-marilynn-thoma-foundation-invites-applications-for-fellowships-and-travel-awards,,"November 13, 2025"
RFP,Carl & Marilynn Thoma Foundation invites applications for fellowships and travel awards,,"December 15, 2025",,The foundation offers predoctoral and postdoctoral fellowships in support of projects and research initiatives that will advance the study of the art of the Spanish Americas as well as grants for research-related expenses....,https://philanthropynewsdigest.org/rfps/rfp18489-carl-marilynn-thoma-foundation-invites-applications-for-fellowships-and-travel-awards,,"November 13, 2025"
RFP,Simons Foundation invites applications for Scientific Software Research Faculty Award,,"January 21, 2026",,The SSRF Award will support researchers who have a strong track record of leadership in scientific software development....,https://philanthropynewsdigest.org/rfps/rfp18508-simons-foundation-invites-applications-for-scientific-software-research-faculty-award,,"November 18, 2025"
RFP,Simons Foundation invites applications for Scientific Software Research Faculty Award,,"January 21, 2026",,The SSRF Award will support researchers who have a strong track record of leadership in scientific software development....,https://philanthropynewsdigest.org/rfps/rfp18508-simons-foundation-invites-applications-for-scientific-software-research-faculty-award,,"November 18, 2025"
RFP,Simons Foundation invites applications for Fellows-to-Faculty Award program,,"January 14, 2026",,The program supports talented early career scientists by facilitating their transition into tenure-track faculty positions....,https://philanthropynewsdigest.org/rfps/rfp18505-simons-foundation-invites-applications-for-fellows-to-faculty-award-program,,"November 17, 2025"
RFP,Whitehall Foundation invites LOIs for bioscience research projects,,"January 15, 2026",,Grants will be awarded to scientists for basic biological research not heavily supported by federal agencies or other foundations with specialized missions....,https://philanthropynewsdigest.org/rfps/rfp18494-whitehall-foundation-invites-lois-for-bioscience-research-projects,,"November 14, 2025"
RFP,American Heart Association invites applications for innovative technologies for women’s health,,"January 6, 2026","$100,000 will be awarded to empower a Denver-area nonprofit to make significant and lasting improvements in how it meets its mission and serves its constituents",Grants will be awarded in support of investigators or investigative teams proposing innovative technologies that disproportionally or exclusively impact women’s health....,https://philanthropynewsdigest.org/rfps/rfp18504-american-heart-association-invites-applications-for-innovative-technologies-for-women-s-health,,"November 17, 2025"
RFP,American Heart Association invites applications for innovative technologies for women’s health,,"January 6, 2026",,Grants will be awarded in support of investigators or investigative teams proposing innovative technologies that disproportionally or exclusively impact women’s health....,https://philanthropynewsdigest.org/rfps/rfp18504-american-heart-association-invites-applications-for-innovative-technologies-for-women-s-health,,"November 17, 2025"
RFP,"Many Hands invites applications from nonprofits serving women, children, and families in Washington, D.C.",,"January 16, 2026",,"Grants will be awarded in four focus areas: economic empowerment, education, health, and housing....",https://philanthropynewsdigest.org/rfps/rfp18495-many-hands-invites-applications-from-nonprofits-serving-women-children-and-families-in-washington-d.c,,"November 14, 2025"
RFP,Impact100 Metro Denver issues 2026 RFP,,"December 15, 2025","$100,000 will be awarded to empower a Denver-area nonprofit to make significant and lasting improvements in how it meets its mission and serves its constituents","A grant of $100,000 will be awarded to empower a Denver-area nonprofit to make significant and lasting improvements in how it meets its mission and serves its constituents....",https://philanthropynewsdigest.org/rfps/rfp18488-impact100-metro-denver-issues-2026-rfp,,"November 12, 2025"
RFP,Submit an RFP,,,,,https://philanthropynewsdigest.org/submit-rfp/,Search RFPs,
RFP,SBB Research Group Foundation invites applications from Massachusetts-based nonprofits,,"November 29, 2025",,,https://philanthropynewsdigest.org/rfps/rfp17229-sbb-research-group-foundation-invites-applications-from-massachusetts-based-nonprofits,,
RFP,SBB Research Group Foundation invites applications from Massachusetts-based nonprofits,,"November 29, 2025",,,https://philanthropynewsdigest.org/rfps/rfp17229-sbb-research-group-foundation-invites-applications-from-massachusetts-based-nonprofits,,
RFP,Rochester Area Community Foundation invites applications for youth sports programs,,"December 1, 2025",,,https://philanthropynewsdigest.org/rfps/rfp18499-rochester-area-community-foundation-invites-applications-for-youth-sports-programs,,
RFP,Claneil Foundation invites applications from nonprofits in Philadelphia area,,"December 1, 2025",,,https://philanthropynewsdigest.org/rfps/rfp18435-claneil-foundation-invites-applications-from-nonprofits-in-philadelphia-area,,
RFP,Rheumatology Research Foundation invites applications for Future Physician Scientist Award,,"December 1, 2025",,,https://philanthropynewsdigest.org/rfps/rfp18408-rheumatology-research-foundation-invites-applications-for-future-physician-scientist-award,,
RFP,Rheumatology Research Foundation invites applications for K and R Bridge awards,,"December 1, 2025",,,https://philanthropynewsdigest.org/rfps/rfp18459-rheumatology-research-foundation-invites-applications-for-k-and-r-bridge-awards,,
RFP,Not the right RFP?,,,,See who will support your mission with Foundation Directory Online.,,,
