Type,Title,Agency,Location,City,State,Deadline,Posted Date,Description,URL,Bid Number
RFP,"Reference: SPE8E926T0688 (Combined Synopsis/Solicitation)






 

COOLING COIL AIR DU / Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing / Ventilation Heating Air-Conditioning and Commercial Refrigeration Equipment Manufacturing / Machinery Manufacturing  




NEW OR UPDATED","November 18, 2025","Reference: SPE8E926T0688 (Combined Synopsis/Solicitation)






 

COOLING COIL AIR DU / Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing / Ventilation Heating Air-Conditioning and Commercial Refrigeration Equipment Manufacturing / Machinery Manufacturing  




NEW OR UPDATED",,,"2025-11-28 


(Closing date appears to be Friday, November 28, 2025 - potential bidders should confirm)","2025-11-28 


(Closing date appears to be Friday, November 28, 2025 - potential bidders should confirm)","Reference: SPE8E926T0688 (Combined Synopsis/Solicitation)






 

COOLING COIL AIR DU / Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing / Ventilation Heating Air-Conditioning and Commercial Refrigeration Equipment Manufacturing / Machinery Manufacturing  




NEW OR UPDATED November 18, 2025 2025-11-28 


(Closing date appears to be Friday, November 28, 2025 - potential bidders should confirm)",https://www.bidsusa.netDefault.CFM?Page=500&PC=3E2262E1&UID=%2D&SID=%2D&BSID=4757167,
RFP,"Reference: SPE7M126T2259 (Combined Synopsis/Solicitation)






 

VALVE CHECK / Industrial Valve Manufacturing / Metal Valve Manufacturing / Other Fabricated Metal Product Manufacturing / Fabricated Metal Product Manufacturing  




NEW OR UPDATED","November 18, 2025","Reference: SPE7M126T2259 (Combined Synopsis/Solicitation)






 

VALVE CHECK / Industrial Valve Manufacturing / Metal Valve Manufacturing / Other Fabricated Metal Product Manufacturing / Fabricated Metal Product Manufacturing  




NEW OR UPDATED",,,"2025-11-28 


(Closing date appears to be Friday, November 28, 2025 - potential bidders should confirm)","2025-11-28 


(Closing date appears to be Friday, November 28, 2025 - potential bidders should confirm)","Reference: SPE7M126T2259 (Combined Synopsis/Solicitation)






 

VALVE CHECK / Industrial Valve Manufacturing / Metal Valve Manufacturing / Other Fabricated Metal Product Manufacturing / Fabricated Metal Product Manufacturing  




NEW OR UPDATED November 18, 2025 2025-11-28 


(Closing date appears to be Friday, November 28, 2025 - potential bidders should confirm)",https://www.bidsusa.netDefault.CFM?Page=500&PC=3E2262E1&UID=%2D&SID=%2D&BSID=4757131,
RFP,"Reference: DACA03-1-26-26203 (Solicitation)






 

Lease for enhanced use of up to 1 065 acres of land / Lessors of Nonresidential Buildings (except Miniwarehouses) / Lessors of Real Estate / Real Estate  




NEW OR UPDATED","November 18, 2025","Reference: DACA03-1-26-26203 (Solicitation)






 

Lease for enhanced use of up to 1 065 acres of land / Lessors of Nonresidential Buildings (except Miniwarehouses) / Lessors of Real Estate / Real Estate  




NEW OR UPDATED",,,"Reference: DACA03-1-26-26203 (Solicitation)






 

Lease for enhanced use of up to 1 065 acres of land / Lessors of Nonresidential Buildings (except Miniwarehouses) / Lessors of Real Estate / Real Estate  




NEW OR UPDATED","2025-12-15 


(Closing date appears to be Monday, December 15, 2025 - potential bidders should confirm)","Reference: DACA03-1-26-26203 (Solicitation)






 

Lease for enhanced use of up to 1 065 acres of land / Lessors of Nonresidential Buildings (except Miniwarehouses) / Lessors of Real Estate / Real Estate  




NEW OR UPDATED November 18, 2025 2025-12-15 


(Closing date appears to be Monday, December 15, 2025 - potential bidders should confirm)",https://www.bidsusa.netDefault.CFM?Page=500&PC=3E2262E1&UID=%2D&SID=%2D&BSID=4757066,
RFP,"Reference: N00421-25-R-0004 (Solicitation)






 

NAWCAD WOLF Aegis / Engineering Services / Architectural Engineering and Related Services / Professional Scientific and Technical Services  




NEW OR UPDATED","November 18, 2025","Reference: N00421-25-R-0004 (Solicitation)






 

NAWCAD WOLF Aegis / Engineering Services / Architectural Engineering and Related Services / Professional Scientific and Technical Services  




NEW OR UPDATED",,,"2025-12-18 


(Closing date appears to be Thursday, December 18, 2025 - potential bidders should confirm)","2025-12-18 


(Closing date appears to be Thursday, December 18, 2025 - potential bidders should confirm)","Reference: N00421-25-R-0004 (Solicitation)






 

NAWCAD WOLF Aegis / Engineering Services / Architectural Engineering and Related Services / Professional Scientific and Technical Services  




NEW OR UPDATED November 18, 2025 2025-12-18 


(Closing date appears to be Thursday, December 18, 2025 - potential bidders should confirm)",https://www.bidsusa.netDefault.CFM?Page=500&PC=3E2262E1&UID=%2D&SID=%2D&BSID=4757083,
RFP,"Reference: SPRHA1-26-Q-0748 (Solicitation)






 

GEARBOX LANDING / Other Aircraft Parts and Auxiliary Equipment Manufacturing / Aerospace Product and Parts Manufacturing / Transportation Equipment Manufacturing  




NEW OR UPDATED","November 18, 2025","Reference: SPRHA1-26-Q-0748 (Solicitation)






 

GEARBOX LANDING / Other Aircraft Parts and Auxiliary Equipment Manufacturing / Aerospace Product and Parts Manufacturing / Transportation Equipment Manufacturing  




NEW OR UPDATED",,,"2025-12-17 


(Closing date appears to be Wednesday, December 17, 2025 - potential bidders should confirm)","2025-12-17 


(Closing date appears to be Wednesday, December 17, 2025 - potential bidders should confirm)","Reference: SPRHA1-26-Q-0748 (Solicitation)






 

GEARBOX LANDING / Other Aircraft Parts and Auxiliary Equipment Manufacturing / Aerospace Product and Parts Manufacturing / Transportation Equipment Manufacturing  




NEW OR UPDATED November 18, 2025 2025-12-17 


(Closing date appears to be Wednesday, December 17, 2025 - potential bidders should confirm)",https://www.bidsusa.netDefault.CFM?Page=500&PC=3E2262E1&UID=%2D&SID=%2D&BSID=4757171,
RFP,"Reference: SPE7M426T2748 (Combined Synopsis/Solicitation)






 

TUBE METALLIC / Iron and Steel Pipe and Tube Manufacturing from Purchased Steel / Steel Product Manufacturing from Purchased Steel / Primary Metal Manufacturing  




NEW OR UPDATED","November 18, 2025","Reference: SPE7M426T2748 (Combined Synopsis/Solicitation)






 

TUBE METALLIC / Iron and Steel Pipe and Tube Manufacturing from Purchased Steel / Steel Product Manufacturing from Purchased Steel / Primary Metal Manufacturing  




NEW OR UPDATED",,,"2025-11-28 


(Closing date appears to be Friday, November 28, 2025 - potential bidders should confirm)","2025-11-28 


(Closing date appears to be Friday, November 28, 2025 - potential bidders should confirm)","Reference: SPE7M426T2748 (Combined Synopsis/Solicitation)






 

TUBE METALLIC / Iron and Steel Pipe and Tube Manufacturing from Purchased Steel / Steel Product Manufacturing from Purchased Steel / Primary Metal Manufacturing  




NEW OR UPDATED November 18, 2025 2025-11-28 


(Closing date appears to be Friday, November 28, 2025 - potential bidders should confirm)",https://www.bidsusa.netDefault.CFM?Page=500&PC=3E2262E1&UID=%2D&SID=%2D&BSID=4757139,
RFP,"Reference: N6134026R0014 (Combined Synopsis/Solicitation)






 

I/ITSEC Exhibit Space (NTSA/NDIA) Simplified Acquisition Procedures (SAP) Buy - Sole Source / Convention and Trade Show Organizers / Other Support Services / Administrative and Support Services  




NEW OR UPDATED","November 18, 2025","Reference: N6134026R0014 (Combined Synopsis/Solicitation)






 

I/ITSEC Exhibit Space (NTSA/NDIA) Simplified Acquisition Procedures (SAP) Buy - Sole Source / Convention and Trade Show Organizers / Other Support Services / Administrative and Support Services  




NEW OR UPDATED",,,"2025-11-19 


(Closing date appears to be Wednesday, November 19, 2025 - potential bidders should confirm)","2025-11-19 


(Closing date appears to be Wednesday, November 19, 2025 - potential bidders should confirm)","Reference: N6134026R0014 (Combined Synopsis/Solicitation)






 

I/ITSEC Exhibit Space (NTSA/NDIA) Simplified Acquisition Procedures (SAP) Buy - Sole Source / Convention and Trade Show Organizers / Other Support Services / Administrative and Support Services  




NEW OR UPDATED November 18, 2025 2025-11-19 


(Closing date appears to be Wednesday, November 19, 2025 - potential bidders should confirm)",https://www.bidsusa.netDefault.CFM?Page=500&PC=3E2262E1&UID=%2D&SID=%2D&BSID=4757085,
RFP,"Reference: SPE7L126T4700 (Combined Synopsis/Solicitation)






 

SPRING HELICAL COMP / Spring Manufacturing / Spring and Wire Product Manufacturing / Fabricated Metal Product Manufacturing  




NEW OR UPDATED","November 18, 2025","Reference: SPE7L126T4700 (Combined Synopsis/Solicitation)






 

SPRING HELICAL COMP / Spring Manufacturing / Spring and Wire Product Manufacturing / Fabricated Metal Product Manufacturing  




NEW OR UPDATED",,,"2025-11-28 


(Closing date appears to be Friday, November 28, 2025 - potential bidders should confirm)","2025-11-28 


(Closing date appears to be Friday, November 28, 2025 - potential bidders should confirm)","Reference: SPE7L126T4700 (Combined Synopsis/Solicitation)






 

SPRING HELICAL COMP / Spring Manufacturing / Spring and Wire Product Manufacturing / Fabricated Metal Product Manufacturing  




NEW OR UPDATED November 18, 2025 2025-11-28 


(Closing date appears to be Friday, November 28, 2025 - potential bidders should confirm)",https://www.bidsusa.netDefault.CFM?Page=500&PC=3E2262E1&UID=%2D&SID=%2D&BSID=4757121,
RFP,"Reference: RFP 35910-12703 Amendment 1






 

Statewide Home Study Services - UPDATED (Updated: 11/17/2025)  




NEW OR UPDATED","November 18, 2025","Reference: RFP 35910-12703 Amendment 1






 

Statewide Home Study Services - UPDATED (Updated: 11/17/2025)  




NEW OR UPDATED",,,"Reference: RFP 35910-12703 Amendment 1






 

Statewide Home Study Services - UPDATED (Updated: 11/17/2025)  




NEW OR UPDATED","12/04/2025 


(Closing date appears to be Thursday, December 04, 2025 - potential bidders should confirm)","Reference: RFP 35910-12703 Amendment 1






 

Statewide Home Study Services - UPDATED (Updated: 11/17/2025)  




NEW OR UPDATED November 18, 2025 12/04/2025 


(Closing date appears to be Thursday, December 04, 2025 - potential bidders should confirm)",https://www.bidsusa.netDefault.CFM?Page=500&PC=3E2262E1&UID=%2D&SID=%2D&BSID=4757183,
RFP,"Reference: N6264926RA009 (Solicitation)






 

USS JOHN FINN (DDG-113) FY26 6J1 CNO BUNDLE #1 Chief of Naval Operation Availability Yokosuka Japan / Ship Building and Repairing / Ship and Boat Building / Transportation Equipment Manufacturing  




NEW OR UPDATED","November 18, 2025","Reference: N6264926RA009 (Solicitation)






 

USS JOHN FINN (DDG-113) FY26 6J1 CNO BUNDLE #1 Chief of Naval Operation Availability Yokosuka Japan / Ship Building and Repairing / Ship and Boat Building / Transportation Equipment Manufacturing  




NEW OR UPDATED",,,"2025-12-17 


(Closing date appears to be Wednesday, December 17, 2025 - potential bidders should confirm)","2025-12-17 


(Closing date appears to be Wednesday, December 17, 2025 - potential bidders should confirm)","Reference: N6264926RA009 (Solicitation)






 

USS JOHN FINN (DDG-113) FY26 6J1 CNO BUNDLE #1 Chief of Naval Operation Availability Yokosuka Japan / Ship Building and Repairing / Ship and Boat Building / Transportation Equipment Manufacturing  




NEW OR UPDATED November 18, 2025 2025-12-17 


(Closing date appears to be Wednesday, December 17, 2025 - potential bidders should confirm)",https://www.bidsusa.netDefault.CFM?Page=500&PC=3E2262E1&UID=%2D&SID=%2D&BSID=4757087,
RFP,"Reference: SPE4A626T051Z (Combined Synopsis/Solicitation)






 

NUT SELF-LOCKING EX / Bolt Nut Screw Rivet and Washer Manufacturing / Turned Product and Screw Nut and Bolt Manufacturing / Machine Shops; Turned Product; and Screw Nut and Bolt Manufacturing / Fabricated Metal Product Manufacturing  




NEW OR UPDATED","November 18, 2025","Reference: SPE4A626T051Z (Combined Synopsis/Solicitation)






 

NUT SELF-LOCKING EX / Bolt Nut Screw Rivet and Washer Manufacturing / Turned Product and Screw Nut and Bolt Manufacturing / Machine Shops; Turned Product; and Screw Nut and Bolt Manufacturing / Fabricated Metal Product Manufacturing  




NEW OR UPDATED",,,"2025-11-25 


(Closing date appears to be Tuesday, November 25, 2025 - potential bidders should confirm)","2025-11-25 


(Closing date appears to be Tuesday, November 25, 2025 - potential bidders should confirm)","Reference: SPE4A626T051Z (Combined Synopsis/Solicitation)






 

NUT SELF-LOCKING EX / Bolt Nut Screw Rivet and Washer Manufacturing / Turned Product and Screw Nut and Bolt Manufacturing / Machine Shops; Turned Product; and Screw Nut and Bolt Manufacturing / Fabricated Metal Product Manufacturing  




NEW OR UPDATED November 18, 2025 2025-11-25 


(Closing date appears to be Tuesday, November 25, 2025 - potential bidders should confirm)",https://www.bidsusa.netDefault.CFM?Page=500&PC=3E2262E1&UID=%2D&SID=%2D&BSID=4757097,
RFP,"Reference: SPE4A726T3720 (Combined Synopsis/Solicitation)






 

TANK FUEL AIRCRAFT / Other Aircraft Parts and Auxiliary Equipment Manufacturing / Aerospace Product and Parts Manufacturing / Transportation Equipment Manufacturing  




NEW OR UPDATED","November 18, 2025","Reference: SPE4A726T3720 (Combined Synopsis/Solicitation)






 

TANK FUEL AIRCRAFT / Other Aircraft Parts and Auxiliary Equipment Manufacturing / Aerospace Product and Parts Manufacturing / Transportation Equipment Manufacturing  




NEW OR UPDATED",,,"2025-11-25 


(Closing date appears to be Tuesday, November 25, 2025 - potential bidders should confirm)","2025-11-25 


(Closing date appears to be Tuesday, November 25, 2025 - potential bidders should confirm)","Reference: SPE4A726T3720 (Combined Synopsis/Solicitation)






 

TANK FUEL AIRCRAFT / Other Aircraft Parts and Auxiliary Equipment Manufacturing / Aerospace Product and Parts Manufacturing / Transportation Equipment Manufacturing  




NEW OR UPDATED November 18, 2025 2025-11-25 


(Closing date appears to be Tuesday, November 25, 2025 - potential bidders should confirm)",https://www.bidsusa.netDefault.CFM?Page=500&PC=3E2262E1&UID=%2D&SID=%2D&BSID=4757111,
RFP,"Reference: SPE7M426U0120 (Combined Synopsis/Solicitation)






 

UNION PIPE / Fabricated Pipe and Pipe Fitting Manufacturing / All Other Fabricated Metal Product Manufacturing / Other Fabricated Metal Product Manufacturing / Fabricated Metal Product Manufacturing  




NEW OR UPDATED","November 18, 2025","Reference: SPE7M426U0120 (Combined Synopsis/Solicitation)






 

UNION PIPE / Fabricated Pipe and Pipe Fitting Manufacturing / All Other Fabricated Metal Product Manufacturing / Other Fabricated Metal Product Manufacturing / Fabricated Metal Product Manufacturing  




NEW OR UPDATED",,,"2025-12-02 


(Closing date appears to be Tuesday, December 02, 2025 - potential bidders should confirm)","2025-12-02 


(Closing date appears to be Tuesday, December 02, 2025 - potential bidders should confirm)","Reference: SPE7M426U0120 (Combined Synopsis/Solicitation)






 

UNION PIPE / Fabricated Pipe and Pipe Fitting Manufacturing / All Other Fabricated Metal Product Manufacturing / Other Fabricated Metal Product Manufacturing / Fabricated Metal Product Manufacturing  




NEW OR UPDATED November 18, 2025 2025-12-02 


(Closing date appears to be Tuesday, December 02, 2025 - potential bidders should confirm)",https://www.bidsusa.netDefault.CFM?Page=500&PC=3E2262E1&UID=%2D&SID=%2D&BSID=4757144,
RFP,"Reference: FA301626R0003 (Solicitation)






 

Fire Suppression Systems Maintenance Services for Joint Base San Antonio Fort Sam Houston / Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance / Repair and Maintenance  




NEW OR UPDATED","November 18, 2025","Reference: FA301626R0003 (Solicitation)






 

Fire Suppression Systems Maintenance Services for Joint Base San Antonio Fort Sam Houston / Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance / Repair and Maintenance  




NEW OR UPDATED",,,"2025-12-04 


(Closing date appears to be Thursday, December 04, 2025 - potential bidders should confirm)","2025-12-04 


(Closing date appears to be Thursday, December 04, 2025 - potential bidders should confirm)","Reference: FA301626R0003 (Solicitation)






 

Fire Suppression Systems Maintenance Services for Joint Base San Antonio Fort Sam Houston / Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance / Repair and Maintenance  




NEW OR UPDATED November 18, 2025 2025-12-04 


(Closing date appears to be Thursday, December 04, 2025 - potential bidders should confirm)",https://www.bidsusa.netDefault.CFM?Page=500&PC=3E2262E1&UID=%2D&SID=%2D&BSID=4757069,
